id,price,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365
731070,600.0,30.243470000000002,-97.75295,Entire home/apt,3,18,0
733203,571.0,30.2707,-97.72865,Entire home/apt,2,234,342
735659,150.0,30.32518,-97.97659,Entire home/apt,3,0,0
735775,375.0,30.18757,-97.79019,Entire home/apt,3,0,0
736279,68.0,30.414559999999998,-97.72319,Private room,30,13,325
742593,329.0,30.311970000000002,-97.72955,Entire home/apt,3,77,214
744442,150.0,30.225690000000004,-97.74008,Entire home/apt,1,0,365
744480,150.0,30.227220000000003,-97.74056999999999,Entire home/apt,3,0,365
746317,169.0,30.258509999999998,-97.76986,Entire home/apt,4,65,257
747499,165.0,30.27875,-97.75516999999999,Entire home/apt,3,96,273
750935,150.0,30.2702,-97.72861999999999,Entire home/apt,2,24,365
751847,299.0,30.3605,-97.7255,Entire home/apt,30,128,0
758675,70.0,30.243540000000003,-97.74736999999999,Entire home/apt,30,25,287
760036,200.0,30.26731,-97.74613000000001,Entire home/apt,14,1,276
761955,150.0,30.2466,-97.78334,Entire home/apt,7,7,287
762400,632.0,30.278290000000002,-97.75604,Entire home/apt,2,134,1
763084,150.0,30.29604,-97.77188000000001,Entire home/apt,3,1,365
765117,106.0,30.21405,-97.81604,Private room,1,0,365
765450,240.0,30.32255,-97.73869,Entire home/apt,1,135,287
771437,100.0,30.22356,-97.7843,Private room,1,7,0
772700,350.0,30.28593,-97.7208,Entire home/apt,3,1,365
775192,265.0,30.23895,-97.71176,Private room,1,2,365
776649,150.0,30.24373,-97.74025,Entire home/apt,2,59,0
780224,142.0,30.265279999999997,-97.74061999999999,Entire home/apt,180,162,0
781716,145.0,30.24408,-97.76196999999999,Entire home/apt,30,353,280
785963,450.0,30.24778,-97.76286999999999,Entire home/apt,2,62,360
789994,125.0,30.3253,-97.6814,Private room,1,0,365
793723,250.0,30.25392,-97.78090999999999,Entire home/apt,1,1,0
801521,79.0,30.23307,-97.76086,Entire home/apt,2,117,307
811086,260.0,30.27485,-97.74969,Entire home/apt,1,7,0
813709,102.0,30.302120000000002,-97.72901,Entire home/apt,5,51,337
814908,150.0,30.25243,-97.77387,Entire home/apt,3,60,1
826750,215.0,30.4443,-97.82519,Entire home/apt,3,35,130
830896,185.0,30.2429,-97.72577,Private room,3,8,364
839470,60.0,30.24565,-97.77877,Private room,1,0,0
846780,151.0,30.25262,-97.77083,Entire home/apt,2,177,228
850518,150.0,30.263479999999998,-97.7202,Entire home/apt,30,81,0
860402,100.0,30.27092,-97.74683,Entire home/apt,30,5,279
867806,85.0,30.33193,-97.74269,Entire home/apt,30,4,226
868560,375.0,30.25548,-97.7317,Entire home/apt,2,6,364
870943,75.0,30.25109,-97.77949,Entire home/apt,30,2,289
